I,H,S,P
   Colour: [0 0 0], count: 634, proportion: 0.15%
   Colour: [1 1 1], count: 431, proportion: 0.10%
   Colour: [2 2 2], count: 208, proportion: 0.05%
   Colour: [3 3 3], count: 244, proportion: 0.06%
   Colour: [4 4 4], count: 162, proportion: 0.04%
   Colour: [5 5 5], count: 132, proportion: 0.03%
   Colour: [6 6 6], count: 136, proportion: 0.03%
   Colour: [7 7 7], count: 169, proportion: 0.04%
   Colour: [8 8 8], count: 152, proportion: 0.04%
   Colour: [9 9 9], count: 19, proportion: 0.00%
   Colour: [10 10 10], count: 121, proportion: 0.03%
   Colour: [11 11 11], count: 183, proportion: 0.04%
   Colour: [12 12 12], count: 140, proportion: 0.03%
   Colour: [13 13 13], count: 124, proportion: 0.03%
   Colour: [14 14 14], count: 185, proportion: 0.04%
   Colour: [15 15 15], count: 320, proportion: 0.08%
   Colour: [16 16 16], count: 25, proportion: 0.01%
   Colour: [17 17 17], count: 732, proportion: 0.18%
   Colour: [18 18 18], count: 569, proportion: 0.14%
   Colour: [19 19 19], count: 659, proportion: 0.16%
   Colour: [20 20 20], count: 711, proportion: 0.17%
   Colour: [21 21 21], count: 673, proportion: 0.16%
   Colour: [22 22 22], count: 773, proportion: 0.19%
   Colour: [23 23 23], count: 95, proportion: 0.02%
   Colour: [24 24 24], count: 752, proportion: 0.18%
   Colour: [25 25 25], count: 911, proportion: 0.22%
   Colour: [26 26 26], count: 1064, proportion: 0.26%
   Colour: [27 27 27], count: 1945, proportion: 0.47%
   Colour: [28 28 28], count: 3012, proportion: 0.73%
   Colour: [29 29 29], count: 2332, proportion: 0.56%
   Colour: [30 30 30], count: 1122, proportion: 0.27%
   Colour: [31 31 31], count: 3740, proportion: 0.90%
   Colour: [32 32 32], count: 3299, proportion: 0.80%
   Colour: [33 33 33], count: 3188, proportion: 0.77%
   Colour: [34 34 34], count: 3490, proportion: 0.84%
   Colour: [35 35 35], count: 2380, proportion: 0.57%
   Colour: [36 36 36], count: 1659, proportion: 0.40%
   Colour: [37 37 37], count: 453, proportion: 0.11%
   Colour: [38 38 38], count: 2104, proportion: 0.51%
   Colour: [39 39 39], count: 1959, proportion: 0.47%
   Colour: [40 40 40], count: 2149, proportion: 0.52%
   Colour: [41 41 41], count: 1880, proportion: 0.45%
   Colour: [42 42 42], count: 1472, proportion: 0.35%
   Colour: [43 43 43], count: 1018, proportion: 0.25%
   Colour: [44 44 44], count: 265, proportion: 0.06%
   Colour: [45 45 45], count: 1302, proportion: 0.31%
   Colour: [46 46 46], count: 1276, proportion: 0.31%
   Colour: [47 47 47], count: 1445, proportion: 0.35%
   Colour: [48 48 48], count: 1442, proportion: 0.35%
   Colour: [49 49 49], count: 1309, proportion: 0.32%
   Colour: [50 50 50], count: 877, proportion: 0.21%
   Colour: [232 232 232], count: 359278, proportion: 86.63%
   Colour: [0 0 0], count: 691, proportion: 0.17%
   Colour: [1 1 1], count: 541, proportion: 0.13%
   Colour: [2 2 2], count: 420, proportion: 0.10%
   Colour: [3 3 3], count: 554, proportion: 0.13%
   Colour: [4 4 4], count: 885, proportion: 0.21%
   Colour: [5 5 5], count: 466, proportion: 0.11%
   Colour: [6 6 6], count: 482, proportion: 0.12%
   Colour: [7 7 7], count: 354, proportion: 0.09%
   Colour: [8 8 8], count: 307, proportion: 0.07%
   Colour: [9 9 9], count: 39, proportion: 0.01%
   Colour: [10 10 10], count: 298, proportion: 0.07%
   Colour: [11 11 11], count: 383, proportion: 0.09%
   Colour: [12 12 12], count: 362, proportion: 0.09%
   Colour: [13 13 13], count: 363, proportion: 0.09%
   Colour: [14 14 14], count: 425, proportion: 0.10%
   Colour: [15 15 15], count: 479, proportion: 0.12%
   Colour: [16 16 16], count: 45, proportion: 0.01%
   Colour: [17 17 17], count: 576, proportion: 0.14%
   Colour: [18 18 18], count: 714, proportion: 0.17%
   Colour: [19 19 19], count: 846, proportion: 0.20%
   Colour: [20 20 20], count: 1077, proportion: 0.26%
   Colour: [21 21 21], count: 1016, proportion: 0.24%
   Colour: [22 22 22], count: 785, proportion: 0.19%
   Colour: [23 23 23], count: 194, proportion: 0.05%
   Colour: [24 24 24], count: 1388, proportion: 0.33%
   Colour: [25 25 25], count: 1518, proportion: 0.37%
   Colour: [26 26 26], count: 1967, proportion: 0.47%
   Colour: [27 27 27], count: 2914, proportion: 0.70%
   Colour: [28 28 28], count: 3398, proportion: 0.82%
   Colour: [29 29 29], count: 2760, proportion: 0.67%
   Colour: [30 30 30], count: 777, proportion: 0.19%
   Colour: [31 31 31], count: 3146, proportion: 0.76%
   Colour: [32 32 32], count: 2719, proportion: 0.66%
   Colour: [33 33 33], count: 2478, proportion: 0.60%
   Colour: [34 34 34], count: 2175, proportion: 0.52%
   Colour: [35 35 35], count: 1935, proportion: 0.47%
   Colour: [36 36 36], count: 1846, proportion: 0.45%
   Colour: [37 37 37], count: 297, proportion: 0.07%
   Colour: [38 38 38], count: 1989, proportion: 0.48%
   Colour: [39 39 39], count: 1745, proportion: 0.42%
   Colour: [40 40 40], count: 1526, proportion: 0.37%
   Colour: [41 41 41], count: 1418, proportion: 0.34%
   Colour: [42 42 42], count: 1253, proportion: 0.30%
   Colour: [43 43 43], count: 1119, proportion: 0.27%
   Colour: [44 44 44], count: 223, proportion: 0.05%
   Colour: [45 45 45], count: 1089, proportion: 0.26%
   Colour: [46 46 46], count: 1200, proportion: 0.29%
   Colour: [47 47 47], count: 1356, proportion: 0.33%
   Colour: [48 48 48], count: 1273, proportion: 0.31%
   Colour: [49 49 49], count: 1178, proportion: 0.28%
   Colour: [50 50 50], count: 921, proportion: 0.22%
   Colour: [232 232 232], count: 356810, proportion: 86.04%
   Colour: [0 0 0], count: 592, proportion: 0.14%
   Colour: [1 1 1], count: 327, proportion: 0.08%
   Colour: [2 2 2], count: 343, proportion: 0.08%
   Colour: [3 3 3], count: 447, proportion: 0.11%
   Colour: [4 4 4], count: 341, proportion: 0.08%
   Colour: [5 5 5], count: 173, proportion: 0.04%
   Colour: [6 6 6], count: 186, proportion: 0.04%
   Colour: [7 7 7], count: 126, proportion: 0.03%
   Colour: [8 8 8], count: 168, proportion: 0.04%
   Colour: [9 9 9], count: 29, proportion: 0.01%
   Colour: [10 10 10], count: 193, proportion: 0.05%
   Colour: [11 11 11], count: 220, proportion: 0.05%
   Colour: [12 12 12], count: 250, proportion: 0.06%
   Colour: [13 13 13], count: 448, proportion: 0.11%
   Colour: [14 14 14], count: 819, proportion: 0.20%
   Colour: [15 15 15], count: 726, proportion: 0.18%
   Colour: [16 16 16], count: 45, proportion: 0.01%
   Colour: [17 17 17], count: 860, proportion: 0.21%
   Colour: [18 18 18], count: 1023, proportion: 0.25%
   Colour: [19 19 19], count: 1556, proportion: 0.38%
   Colour: [20 20 20], count: 2199, proportion: 0.53%
   Colour: [21 21 21], count: 2537, proportion: 0.61%
   Colour: [22 22 22], count: 2184, proportion: 0.53%
   Colour: [23 23 23], count: 948, proportion: 0.23%
   Colour: [24 24 24], count: 2884, proportion: 0.70%
   Colour: [25 25 25], count: 2626, proportion: 0.63%
   Colour: [26 26 26], count: 3034, proportion: 0.73%
   Colour: [27 27 27], count: 3367, proportion: 0.81%
   Colour: [28 28 28], count: 2990, proportion: 0.72%
   Colour: [29 29 29], count: 1994, proportion: 0.48%
   Colour: [30 30 30], count: 400, proportion: 0.10%
   Colour: [31 31 31], count: 2156, proportion: 0.52%
   Colour: [32 32 32], count: 2030, proportion: 0.49%
   Colour: [33 33 33], count: 2034, proportion: 0.49%
   Colour: [34 34 34], count: 2018, proportion: 0.49%
   Colour: [35 35 35], count: 1667, proportion: 0.40%
   Colour: [36 36 36], count: 1092, proportion: 0.26%
   Colour: [37 37 37], count: 382, proportion: 0.09%
   Colour: [38 38 38], count: 1419, proportion: 0.34%
   Colour: [39 39 39], count: 1596, proportion: 0.38%
   Colour: [40 40 40], count: 1875, proportion: 0.45%
   Colour: [41 41 41], count: 1873, proportion: 0.45%
   Colour: [42 42 42], count: 1630, proportion: 0.39%
   Colour: [43 43 43], count: 876, proportion: 0.21%
   Colour: [44 44 44], count: 465, proportion: 0.11%
   Colour: [45 45 45], count: 1193, proportion: 0.29%
   Colour: [46 46 46], count: 1236, proportion: 0.30%
   Colour: [47 47 47], count: 1183, proportion: 0.29%
   Colour: [48 48 48], count: 1376, proportion: 0.33%
   Colour: [49 49 49], count: 1308, proportion: 0.32%
   Colour: [50 50 50], count: 877, proportion: 0.21%
   Colour: [232 232 232], count: 352399, proportion: 84.97%
   Colour: [0 0 0], count: 457, proportion: 0.11%
   Colour: [1 1 1], count: 333, proportion: 0.08%
   Colour: [2 2 2], count: 315, proportion: 0.08%
   Colour: [3 3 3], count: 368, proportion: 0.09%
   Colour: [4 4 4], count: 368, proportion: 0.09%
   Colour: [5 5 5], count: 213, proportion: 0.05%
   Colour: [6 6 6], count: 155, proportion: 0.04%
   Colour: [7 7 7], count: 136, proportion: 0.03%
   Colour: [8 8 8], count: 181, proportion: 0.04%
   Colour: [9 9 9], count: 17, proportion: 0.00%
   Colour: [10 10 10], count: 171, proportion: 0.04%
   Colour: [11 11 11], count: 208, proportion: 0.05%
   Colour: [12 12 12], count: 240, proportion: 0.06%
   Colour: [13 13 13], count: 365, proportion: 0.09%
   Colour: [14 14 14], count: 746, proportion: 0.18%
   Colour: [15 15 15], count: 802, proportion: 0.19%
   Colour: [16 16 16], count: 41, proportion: 0.01%
   Colour: [17 17 17], count: 864, proportion: 0.21%
   Colour: [18 18 18], count: 1030, proportion: 0.25%
   Colour: [19 19 19], count: 1725, proportion: 0.42%
   Colour: [20 20 20], count: 2233, proportion: 0.54%
   Colour: [21 21 21], count: 2778, proportion: 0.67%
   Colour: [22 22 22], count: 2337, proportion: 0.56%
   Colour: [23 23 23], count: 883, proportion: 0.21%
   Colour: [24 24 24], count: 2910, proportion: 0.70%
   Colour: [25 25 25], count: 2579, proportion: 0.62%
   Colour: [26 26 26], count: 3010, proportion: 0.73%
   Colour: [27 27 27], count: 3294, proportion: 0.79%
   Colour: [28 28 28], count: 2931, proportion: 0.71%
   Colour: [29 29 29], count: 1870, proportion: 0.45%
   Colour: [30 30 30], count: 604, proportion: 0.15%
   Colour: [31 31 31], count: 2040, proportion: 0.49%
   Colour: [32 32 32], count: 2019, proportion: 0.49%
   Colour: [33 33 33], count: 1966, proportion: 0.47%
   Colour: [34 34 34], count: 1942, proportion: 0.47%
   Colour: [35 35 35], count: 1640, proportion: 0.40%
   Colour: [36 36 36], count: 1143, proportion: 0.28%
   Colour: [37 37 37], count: 397, proportion: 0.10%
   Colour: [38 38 38], count: 1445, proportion: 0.35%
   Colour: [39 39 39], count: 1529, proportion: 0.37%
   Colour: [40 40 40], count: 1901, proportion: 0.46%
   Colour: [41 41 41], count: 1890, proportion: 0.46%
   Colour: [42 42 42], count: 1553, proportion: 0.37%
   Colour: [43 43 43], count: 927, proportion: 0.22%
   Colour: [44 44 44], count: 406, proportion: 0.10%
   Colour: [45 45 45], count: 1225, proportion: 0.30%
   Colour: [46 46 46], count: 1264, proportion: 0.30%
   Colour: [47 47 47], count: 1241, proportion: 0.30%
   Colour: [48 48 48], count: 1303, proportion: 0.31%
   Colour: [49 49 49], count: 1378, proportion: 0.33%
   Colour: [50 50 50], count: 901, proportion: 0.22%
   Colour: [232 232 232], count: 352446, proportion: 84.98%
   Colour: [0 0 0], count: 2194, proportion: 0.53%
   Colour: [1 1 1], count: 1369, proportion: 0.33%
   Colour: [2 2 2], count: 868, proportion: 0.21%
   Colour: [3 3 3], count: 1017, proportion: 0.25%
   Colour: [4 4 4], count: 2387, proportion: 0.58%
   Colour: [5 5 5], count: 1158, proportion: 0.28%
   Colour: [6 6 6], count: 887, proportion: 0.21%
   Colour: [7 7 7], count: 800, proportion: 0.19%
   Colour: [8 8 8], count: 698, proportion: 0.17%
   Colour: [9 9 9], count: 119, proportion: 0.03%
   Colour: [10 10 10], count: 805, proportion: 0.19%
   Colour: [11 11 11], count: 764, proportion: 0.18%
   Colour: [12 12 12], count: 790, proportion: 0.19%
   Colour: [13 13 13], count: 693, proportion: 0.17%
   Colour: [14 14 14], count: 661, proportion: 0.16%
   Colour: [15 15 15], count: 575, proportion: 0.14%
   Colour: [16 16 16], count: 109, proportion: 0.03%
   Colour: [17 17 17], count: 970, proportion: 0.23%
   Colour: [18 18 18], count: 1425, proportion: 0.34%
   Colour: [19 19 19], count: 1977, proportion: 0.48%
   Colour: [20 20 20], count: 1955, proportion: 0.47%
   Colour: [21 21 21], count: 1408, proportion: 0.34%
   Colour: [22 22 22], count: 1003, proportion: 0.24%
   Colour: [23 23 23], count: 340, proportion: 0.08%
   Colour: [24 24 24], count: 1822, proportion: 0.44%
   Colour: [25 25 25], count: 2190, proportion: 0.53%
   Colour: [26 26 26], count: 3481, proportion: 0.84%
   Colour: [27 27 27], count: 2903, proportion: 0.70%
   Colour: [28 28 28], count: 2775, proportion: 0.67%
   Colour: [29 29 29], count: 2274, proportion: 0.55%
   Colour: [30 30 30], count: 387, proportion: 0.09%
   Colour: [31 31 31], count: 1825, proportion: 0.44%
   Colour: [32 32 32], count: 1796, proportion: 0.43%
   Colour: [33 33 33], count: 1687, proportion: 0.41%
   Colour: [34 34 34], count: 1623, proportion: 0.39%
   Colour: [35 35 35], count: 1830, proportion: 0.44%
   Colour: [36 36 36], count: 1415, proportion: 0.34%
   Colour: [37 37 37], count: 162, proportion: 0.04%
   Colour: [38 38 38], count: 1424, proportion: 0.34%
   Colour: [39 39 39], count: 1422, proportion: 0.34%
   Colour: [40 40 40], count: 1163, proportion: 0.28%
   Colour: [41 41 41], count: 1132, proportion: 0.27%
   Colour: [42 42 42], count: 1150, proportion: 0.28%
   Colour: [43 43 43], count: 1015, proportion: 0.24%
   Colour: [44 44 44], count: 69, proportion: 0.02%
   Colour: [45 45 45], count: 1148, proportion: 0.28%
   Colour: [46 46 46], count: 1182, proportion: 0.29%
   Colour: [47 47 47], count: 1195, proportion: 0.29%
   Colour: [48 48 48], count: 1159, proportion: 0.28%
   Colour: [49 49 49], count: 1255, proportion: 0.30%
   Colour: [50 50 50], count: 1056, proportion: 0.25%
   Colour: [232 232 232], count: 349208, proportion: 84.20%
   Colour: [0 0 0], count: 806, proportion: 0.19%
   Colour: [1 1 1], count: 809, proportion: 0.20%
   Colour: [2 2 2], count: 431, proportion: 0.10%
   Colour: [3 3 3], count: 795, proportion: 0.19%
   Colour: [4 4 4], count: 688, proportion: 0.17%
   Colour: [5 5 5], count: 336, proportion: 0.08%
   Colour: [6 6 6], count: 271, proportion: 0.07%
   Colour: [7 7 7], count: 234, proportion: 0.06%
   Colour: [8 8 8], count: 257, proportion: 0.06%
   Colour: [9 9 9], count: 36, proportion: 0.01%
   Colour: [10 10 10], count: 272, proportion: 0.07%
   Colour: [11 11 11], count: 262, proportion: 0.06%
   Colour: [12 12 12], count: 265, proportion: 0.06%
   Colour: [13 13 13], count: 297, proportion: 0.07%
   Colour: [14 14 14], count: 318, proportion: 0.08%
   Colour: [15 15 15], count: 318, proportion: 0.08%
   Colour: [16 16 16], count: 67, proportion: 0.02%
   Colour: [17 17 17], count: 383, proportion: 0.09%
   Colour: [18 18 18], count: 559, proportion: 0.13%
   Colour: [19 19 19], count: 800, proportion: 0.19%
   Colour: [20 20 20], count: 927, proportion: 0.22%
   Colour: [21 21 21], count: 823, proportion: 0.20%
   Colour: [22 22 22], count: 621, proportion: 0.15%
   Colour: [23 23 23], count: 214, proportion: 0.05%
   Colour: [24 24 24], count: 801, proportion: 0.19%
   Colour: [25 25 25], count: 798, proportion: 0.19%
   Colour: [26 26 26], count: 1030, proportion: 0.25%
   Colour: [27 27 27], count: 969, proportion: 0.23%
   Colour: [28 28 28], count: 921, proportion: 0.22%
   Colour: [29 29 29], count: 662, proportion: 0.16%
   Colour: [30 30 30], count: 204, proportion: 0.05%
   Colour: [31 31 31], count: 1433, proportion: 0.35%
   Colour: [32 32 32], count: 1339, proportion: 0.32%
   Colour: [33 33 33], count: 1485, proportion: 0.36%
   Colour: [34 34 34], count: 1582, proportion: 0.38%
   Colour: [35 35 35], count: 2142, proportion: 0.52%
   Colour: [36 36 36], count: 2248, proportion: 0.54%
   Colour: [37 37 37], count: 560, proportion: 0.14%
   Colour: [38 38 38], count: 3707, proportion: 0.89%
   Colour: [39 39 39], count: 2654, proportion: 0.64%
   Colour: [40 40 40], count: 2460, proportion: 0.59%
   Colour: [41 41 41], count: 2261, proportion: 0.55%
   Colour: [42 42 42], count: 2124, proportion: 0.51%
   Colour: [43 43 43], count: 1155, proportion: 0.28%
   Colour: [44 44 44], count: 465, proportion: 0.11%
   Colour: [45 45 45], count: 1471, proportion: 0.35%
   Colour: [46 46 46], count: 1504, proportion: 0.36%
   Colour: [47 47 47], count: 1599, proportion: 0.39%
   Colour: [48 48 48], count: 1646, proportion: 0.40%
   Colour: [49 49 49], count: 1662, proportion: 0.40%
   Colour: [50 50 50], count: 1253, proportion: 0.30%
   Colour: [232 232 232], count: 363796, proportion: 87.72%
1 , 46 , 9131 , 2.201726466049383
   Colour: [0 0 0], count: 1029, proportion: 0.25%
   Colour: [1 1 1], count: 726, proportion: 0.18%
   Colour: [2 2 2], count: 354, proportion: 0.09%
   Colour: [3 3 3], count: 530, proportion: 0.13%
   Colour: [4 4 4], count: 568, proportion: 0.14%
   Colour: [5 5 5], count: 434, proportion: 0.10%
   Colour: [6 6 6], count: 475, proportion: 0.11%
   Colour: [7 7 7], count: 420, proportion: 0.10%
   Colour: [8 8 8], count: 406, proportion: 0.10%
   Colour: [9 9 9], count: 70, proportion: 0.02%
   Colour: [10 10 10], count: 410, proportion: 0.10%
   Colour: [11 11 11], count: 371, proportion: 0.09%
   Colour: [12 12 12], count: 381, proportion: 0.09%
   Colour: [13 13 13], count: 369, proportion: 0.09%
   Colour: [14 14 14], count: 359, proportion: 0.09%
   Colour: [15 15 15], count: 460, proportion: 0.11%
   Colour: [16 16 16], count: 47, proportion: 0.01%
   Colour: [17 17 17], count: 657, proportion: 0.16%
   Colour: [18 18 18], count: 890, proportion: 0.21%
   Colour: [19 19 19], count: 789, proportion: 0.19%
   Colour: [20 20 20], count: 780, proportion: 0.19%
   Colour: [21 21 21], count: 987, proportion: 0.24%
   Colour: [22 22 22], count: 767, proportion: 0.18%
   Colour: [23 23 23], count: 188, proportion: 0.05%
   Colour: [24 24 24], count: 945, proportion: 0.23%
   Colour: [25 25 25], count: 1018, proportion: 0.25%
   Colour: [26 26 26], count: 1352, proportion: 0.33%
   Colour: [27 27 27], count: 1590, proportion: 0.38%
   Colour: [28 28 28], count: 2026, proportion: 0.49%
   Colour: [29 29 29], count: 1465, proportion: 0.35%
   Colour: [30 30 30], count: 248, proportion: 0.06%
   Colour: [31 31 31], count: 2353, proportion: 0.57%
   Colour: [32 32 32], count: 2808, proportion: 0.68%
   Colour: [33 33 33], count: 2818, proportion: 0.68%
   Colour: [34 34 34], count: 2819, proportion: 0.68%
   Colour: [35 35 35], count: 2966, proportion: 0.72%
   Colour: [36 36 36], count: 1852, proportion: 0.45%
   Colour: [37 37 37], count: 171, proportion: 0.04%
   Colour: [38 38 38], count: 1619, proportion: 0.39%
   Colour: [39 39 39], count: 1484, proportion: 0.36%
   Colour: [40 40 40], count: 1734, proportion: 0.42%
   Colour: [41 41 41], count: 1949, proportion: 0.47%
   Colour: [42 42 42], count: 1822, proportion: 0.44%
   Colour: [43 43 43], count: 1450, proportion: 0.35%
   Colour: [44 44 44], count: 92, proportion: 0.02%
   Colour: [45 45 45], count: 1325, proportion: 0.32%
   Colour: [46 46 46], count: 1268, proportion: 0.31%
   Colour: [47 47 47], count: 1283, proportion: 0.31%
   Colour: [48 48 48], count: 1254, proportion: 0.30%
   Colour: [49 49 49], count: 1313, proportion: 0.32%
   Colour: [50 50 50], count: 1080, proportion: 0.26%
   Colour: [232 232 232], count: 360149, proportion: 86.84%
2 , 28 , 10525 , 2.5378568672839505
